trial,response_type,response_time,feedback_time,feedback_type,reaction_time,reaction_type
174,0.0,2.2519007114692613,2.2887497330534643,1.0,inf,0.0
175,-1.0,0.6641504898966559,0.7019769564373064,1.0,320.0,-1.0
176,1.0,1.0435814369984655,1.08181337950748,1.0,910.0,1.0
177,1.0,0.8512005854405515,0.8887563222159542,1.0,250.0,1.0
178,0.0,2.386854659464575,2.425667324728579,1.0,inf,0.0
179,-1.0,0.6997647334317207,0.739085810757615,1.0,210.0,-1.0
180,-1.0,0.9430055671494983,0.981250121698622,1.0,250.0,-1.0
181,-1.0,1.068171318553368,1.1070104853786231,1.0,350.0,-1.0
182,1.0,0.9814800469482634,1.0191644989640736,1.0,860.0,1.0
183,-1.0,1.1553854323033192,1.1941203562205374,1.0,200.0,-1.0
184,-1.0,0.591680705526187,0.591680705526187,-1.0,350.0,-1.0
185,0.0,2.2035082302743376,2.2411256512609725,1.0,inf,0.0
186,1.0,0.842154088221946,0.8829832891990463,1.0,390.0,1.0
187,-1.0,0.6333145766927828,0.6714226442720701,1.0,240.0,-1.0
188,1.0,1.0079490811583582,1.046892664496795,1.0,340.0,1.0
189,-1.0,0.7299211328919455,0.7299211328919455,-1.0,300.0,-1.0
190,0.0,2.291392499661129,2.329387206178126,1.0,inf,0.0
191,0.0,2.503066890226819,2.540899395605265,1.0,inf,0.0
192,1.0,0.8285882667219084,0.8674035331622463,1.0,270.0,1.0
193,-1.0,0.7007032531669211,0.7401367990992185,1.0,290.0,-1.0
194,-1.0,0.8075840195836008,0.8474438984649169,1.0,290.0,-1.0
195,-1.0,0.7322304529817529,0.7322304529817529,-1.0,240.0,-1.0
196,1.0,1.108442539946623,1.147503805645897,1.0,460.0,1.0
197,0.0,2.271913007557828,2.271913007557828,-1.0,inf,0.0
198,-1.0,0.7077486415815883,0.7492732702096419,1.0,490.0,-1.0
199,-1.0,1.4545788272525897,1.4925949931963487,1.0,1360.0,-1.0
200,-1.0,0.7604524573290519,0.8003016638937197,1.0,570.0,-1.0
201,-1.0,0.7891381369189503,0.8294400227600818,1.0,330.0,-1.0
202,-1.0,0.9819908142422946,0.9819908142422946,-1.0,850.0,-1.0
203,0.0,2.312444744393474,2.3520854262784496,1.0,inf,0.0
204,-1.0,0.7455345515134013,0.7455345515134013,-1.0,510.0,-1.0
205,-1.0,0.7952625140532064,0.8353403392984546,1.0,640.0,-1.0
206,1.0,0.9369657140861136,0.9761181939803693,1.0,300.0,-1.0
207,1.0,1.091372589432126,1.1308393896573534,1.0,810.0,1.0
208,-1.0,0.8998363754316188,0.9394064214551464,1.0,320.0,-1.0
209,0.0,2.2596548951241857,2.298560890843873,1.0,inf,0.0
210,-1.0,0.9724081925027122,0.9724081925027122,-1.0,380.0,-1.0
211,1.0,1.336370317614865,1.3763258174511748,1.0,1000.0,1.0
212,-1.0,1.360233291624354,1.4004864135611117,1.0,1190.0,-1.0
213,-1.0,0.9601890215976708,1.0004952040221724,1.0,800.0,-1.0
214,-1.0,0.852328982657582,0.8915415158735414,1.0,670.0,-1.0
215,-1.0,0.9768638217620946,1.0176759721147164,1.0,800.0,-1.0
216,-1.0,1.1085083480951423,1.1085083480951423,-1.0,1010.0,-1.0
217,0.0,2.2919560945359763,2.3310169868865387,1.0,inf,0.0
218,-1.0,0.9310668351937466,0.9710078496158304,1.0,420.0,-1.0
219,-1.0,0.954009401831172,0.994008095526624,1.0,750.0,-1.0
220,-1.0,0.7874467486188905,0.8272416778991101,1.0,600.0,-1.0
221,-1.0,1.1476167588623412,1.1866653218478405,1.0,380.0,-1.0
222,-1.0,1.3287278266337808,1.3287278266337808,-1.0,1050.0,1.0
223,0.0,2.500027040130476,2.538758122938475,1.0,inf,0.0
224,1.0,0.9023576096363968,0.94248488110577,1.0,750.0,1.0
225,-1.0,1.0061209448824684,1.0467463968421953,1.0,820.0,-1.0
226,-1.0,1.2919525837326091,1.2919525837326091,-1.0,1190.0,-1.0
227,-1.0,1.119618743538922,1.119618743538922,-1.0,890.0,-1.0
228,0.0,2.525805391405356,2.563995780478308,1.0,inf,0.0
229,1.0,0.8551089210452574,0.8956746127540782,1.0,520.0,1.0
230,-1.0,0.7562899456030436,0.7958909341400613,1.0,320.0,-1.0
231,0.0,2.4596915200398826,2.4596915200398826,-1.0,inf,0.0
232,-1.0,0.9474817237073694,0.9474817237073694,-1.0,760.0,-1.0
233,0.0,2.294970889214028,2.3342828403135627,1.0,inf,0.0
234,0.0,2.585666590050096,2.585666590050096,-1.0,inf,0.0
235,0.0,2.4486279147222376,2.4875933278494813,1.0,inf,0.0
236,-1.0,0.8320709628956138,0.8737314392212738,1.0,600.0,-1.0
237,-1.0,0.6686670972596858,0.7098462495116564,1.0,490.0,-1.0
238,-1.0,1.2854430180304917,1.2854430180304917,-1.0,1130.0,-1.0
239,0.0,2.28552803417756,2.28552803417756,-1.0,inf,0.0
240,1.0,1.5779122163021384,1.6183103018408929,1.0,1240.0,1.0
241,0.0,2.5357898046836453,2.5357898046836453,-1.0,inf,0.0
242,1.0,0.7795914379223632,0.7795914379223632,-1.0,630.0,1.0
243,-1.0,1.7075870283383665,1.7075870283383665,-1.0,1600.0,-1.0
244,0.0,2.224388408021241,2.263253005496153,1.0,inf,0.0
245,0.0,2.2770442261166863,2.2770442261166863,-1.0,inf,0.0
246,0.0,2.3586676722597986,2.3586676722597986,-1.0,inf,0.0
247,0.0,2.538414882673578,2.538414882673578,-1.0,inf,0.0
248,0.0,2.4414270622926324,2.4414270622926324,-1.0,inf,0.0
249,0.0,2.41137329926687,2.41137329926687,-1.0,inf,0.0
250,0.0,2.207246310036908,2.207246310036908,-1.0,inf,0.0
251,0.0,2.2263520847473046,2.2263520847473046,-1.0,inf,0.0
252,0.0,2.4145619721898584,2.4145619721898584,-1.0,inf,0.0
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
