trial,contrast_left,contrast_right,gocue_time
177,25,0,0.691552938323639
178,0,0,0.5808356685180343
179,0,25,0.4306805187067084
180,25,100,0.5400425508399849
181,25,50,0.6910033469441714
182,50,0,0.6411580125984528
183,25,100,0.7661130118698338
184,100,50,0.4759641697442021
185,0,0,0.4002940636891026
186,50,0,0.5465775166767344
187,0,25,0.4706191986047088
188,100,25,0.7664878529176349
189,0,0,0.506359218987086
190,0,0,0.4865555842869753
191,0,0,0.7008678217613351
192,50,25,0.4157957838426682
193,0,50,0.4145312119015898
194,50,100,0.6610406998972849
195,100,25,0.5810529856279345
196,100,25,0.7150963857924353
197,25,100,0.4663818682897727
198,25,100,0.554869934364433
199,25,50,0.72018173904587
200,0,50,0.475896097287773
201,0,50,0.6206364398150299
202,0,0,0.6104024667829435
203,0,0,0.5052537357485107
204,50,50,0.4057858769400582
205,0,100,0.5353351913892084
206,100,50,0.5101101975611755
207,100,25,0.5208289222416624
208,50,50,0.5762001890528836
209,0,0,0.4561292758165791
210,50,25,0.6205082810512295
211,100,0,0.7607152539410436
212,0,50,0.7704756029514783
213,100,100,0.594888244048775
214,25,50,0.4255335194543477
215,25,100,0.6904703574615496
216,0,0,0.4406029670335556
217,0,0,0.4905854061786385
218,0,100,0.6810028733034414
219,0,25,0.6608023779152745
220,25,100,0.6156380469070655
221,25,100,0.7358575862560883
222,100,50,0.7755765573785993
223,0,0,0.6951264873196124
224,100,0,0.5560782505984889
225,0,25,0.5355376248046468
226,0,0,0.5803394237306065
227,0,0,0.4945190920616369
228,0,0,0.7251642272258323
229,100,0,0.4760674125449213
230,0,100,0.6002875777030567
231,25,0,0.655461913798149
232,0,0,0.5659763648216085
233,0,0,0.4906512046948137
234,0,25,0.7858847393299584
235,0,0,0.6455617196859293
236,0,100,0.5157252960495953
237,0,50,0.435841547754535
238,100,50,0.7805664913346391
239,50,0,0.4804903701901821
240,50,0,0.5902926616715831
241,50,50,0.7305949244973817
242,0,0,0.4659144278264193
243,0,0,0.6246049666588078
244,0,0,0.4200213767412606
245,25,100,0.4748439826614685
246,25,100,0.5558537512163184
247,25,100,0.7409234849974382
248,25,100,0.639618192581338
249,25,100,0.6006169945746933
250,25,100,0.4048342833116294
251,25,100,0.4249559877514457
252,25,100,0.6106622933125436
253,0,25,
254,0,100,
255,0,50,
256,0,50,
257,100,25,
258,100,100,
259,0,50,
260,100,0,
261,0,100,
262,100,50,
263,0,25,
264,100,0,
265,100,25,
266,0,100,
267,0,100,
268,0,100,
269,100,50,
270,100,100,
271,0,100,
272,0,25,
273,0,100,
274,0,100,
275,0,50,
276,100,100,
277,100,0,
278,0,25,
279,0,100,
280,0,25,
281,0,100,
282,0,25,
283,0,100,
284,0,100,
285,0,100,
286,100,25,
287,0,100,
288,0,50,
289,0,100,
290,100,100,
291,0,100,
292,0,100,
293,100,50,
294,100,0,
295,0,100,
296,100,50,
297,0,100,
298,100,50,
299,100,0,
300,0,25,
301,100,0,
302,0,100,
303,100,0,
